Mots-cles,Scores
water services metadata,0.5826
water indicator sdg_indicator,0.5581
monitoring programme water,0.5335
sdg_related_indicators targets,0.5317
drinking water indicator,0.5249
indicators sdg_related_indicators,0.5193
water quality specified,0.5038
improved sanitation facilities,0.6896
sanitation facilities designed,0.685
using improved sanitation,0.6593
sanitation facility considered,0.6552
latrines sanitation facility,0.6509
handwashing facility soap,0.7032
household handwashing facilities,0.6697
designated handwashing soap,0.6559
handwashing handwashing facilities,0.6356
handwashing facilities located,0.6265
handwashing soap includes,0.6257
measures volumes wastewater,0.6921
wastewater flows figure,0.6773
total volume wastewater,0.6725
total wastewater flows,0.6718
total wastewater generated,0.667
wastewater generated total,0.664
taken proportion wastewater,0.6605
proportion wastewater flow,0.659
wastewater statistics commonly,0.656
water quality index,0.7363
water quality assessed,0.7329
monitoring water quality,0.7303
water quality status,0.7245
water quality monitoring,0.724
measured water quality,0.7157
water quality parameter,0.6982
parameter water quality,0.6882
water use efficiency,0.694
industry water use,0.6516
terms water use,0.6052
economy seea water,0.5902
resources water abstraction,0.5896
quantity water used,0.5855
services water use,0.5757
water received industry,0.5714
resources water,0.5706
resources freshwater withdrawal,0.709
renewable water resources,0.643
terms water resources,0.6369
freshwater resources ratio,0.6245
total renewable freshwater,0.6152
environment iwrm institutions,0.6274
management iwrm scale,0.6095
resources management iwrm,0.6047
iwrm management instruments,0.6044
environment iwrm,0.5885
iwrm management,0.5819
implementation iwrm management,0.58
integrated water resources,0.5763
iwrm institutions participation,0.5728
indicator transboundary basin,0.6881
basin organization transbounda,0.6478
transboundary basin refers,0.643
cooperation transboundary basin,0.6165
transboundary basins provides,0.6033
basin refers river,0.6023
sharing transboundary basins,0.6022
wetlands sdg indicator,0.6664
freshwater ecosystems measure,0.6132
ecosystem indicator,0.5881
ecosystem indicator methodology,0.5753
inland wetlands sdg,0.5479
earth observations ecosystem,0.5465
ecosystem measured,0.5424
sdg indicator data,0.5405
extent wetlands term,0.7218
wetlands term defined,0.7111
ramsar classifying wetland,0.7081
definitions classifications wetlands,0.6943
wetlands ramsar classifying,0.6834
area wetlands measured,0.6832
wetlands term,0.6777
oda flows comprise,0.5517
water sanitation oda,0.5472
oda disbursements included,0.5337
official financing administered,0.5281
development assistance government,0.5231
institutions oda receipts,0.5227
oda disbursements,0.5222
assistance oda disbursements,0.5195
sanitation management indicator,0.6612
sanitation activities policy,0.6391
sanitation includes areas,0.6074
local administrative units,0.5718
communities water sanitation,0.5667
sanitation management options,0.5643
sustainability local administrative,0.5569
programs water sanitation,0.5505
