ODD;Cible;Indicateur;Mots-cles
ODD16 : Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels;Cible 16-01 : Significantly reduce all forms of violence and related death rates everywhere;Indicateur 16-01-02 : Conflict-related deaths per 100,000 population, by sex, age and cause;armed conflict
ODD16 : Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels;Cible 16-01 : Significantly reduce all forms of violence and related death rates everywhere;Indicateur 16-01-02 : Conflict-related deaths per 100,000 population, by sex, age and cause;united nations (un)
ODD16 : Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels;Cible 16-01 : Significantly reduce all forms of violence and related death rates everywhere;Indicateur 16-01-02 : Conflict-related deaths per 100,000 population, by sex, age and cause;direct deaths
ODD16 : Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels;Cible 16-01 : Significantly reduce all forms of violence and related death rates everywhere;Indicateur 16-01-02 : Conflict-related deaths per 100,000 population, by sex, age and cause;indirect deaths
ODD16 : Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels;Cible 16-01 : Significantly reduce all forms of violence and related death rates everywhere;Indicateur 16-01-02 : Conflict-related deaths per 100,000 population, by sex, age and cause;means and methods
ODD16 : Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels;Cible 16-01 : Significantly reduce all forms of violence and related death rates everywhere;Indicateur 16-01-03 : Proportion of population subjected to (a) physical violence, (b) psychological violence and/or (c) sexual violence in the previous 12 months;physical violence
ODD16 : Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels;Cible 16-01 : Significantly reduce all forms of violence and related death rates everywhere;Indicateur 16-01-03 : Proportion of population subjected to (a) physical violence, (b) psychological violence and/or (c) sexual violence in the previous 12 months;psychological violence
ODD16 : Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels;Cible 16-01 : Significantly reduce all forms of violence and related death rates everywhere;Indicateur 16-01-03 : Proportion of population subjected to (a) physical violence, (b) psychological violence and/or (c) sexual violence in the previous 12 months;sexual violence
ODD16 : Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels;Cible 16-01 : Significantly reduce all forms of violence and related death rates everywhere;Indicateur 16-01-04 : Proportion of population that feel safe walking alone around the area they live after dark;after dark
ODD16 : Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels;Cible 16-02 : End abuse, exploitation, trafficking and all forms of violence against and torture of children;Indicateur 16-02-01 : Proportion of children aged 1–17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month;physical punishment
