ODD,Cible,Indicateur,Mots-cles
ODD03 : Ensure healthy lives and promote well-being for all at all ages,"Cible 03-01 : By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births",Indicateur 03-01-01 : Maternal mortality ratio,live births
ODD03 : Ensure healthy lives and promote well-being for all at all ages,"Cible 03-01 : By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births",Indicateur 03-01-01 : Maternal mortality ratio,time period
ODD03 : Ensure healthy lives and promote well-being for all at all ages,"Cible 03-01 : By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births",Indicateur 03-01-02 : Proportion of births attended by skilled health personnel,quality care
ODD03 : Ensure healthy lives and promote well-being for all at all ages,"Cible 03-02 : By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under‑5 mortality to at least as low as 25 per 1,000 live births",Indicateur 03-02-01 : Under-5 mortality rate,mortality rate
ODD03 : Ensure healthy lives and promote well-being for all at all ages,"Cible 03-02 : By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under‑5 mortality to at least as low as 25 per 1,000 live births",Indicateur 03-02-01 : Under-5 mortality rate,child death
ODD03 : Ensure healthy lives and promote well-being for all at all ages,"Cible 03-02 : By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under‑5 mortality to at least as low as 25 per 1,000 live births",Indicateur 03-02-01 : Under-5 mortality rate,live birth
ODD03 : Ensure healthy lives and promote well-being for all at all ages,"Cible 03-02 : By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under‑5 mortality to at least as low as 25 per 1,000 live births",Indicateur 03-02-01 : Under-5 mortality rate,life table
ODD03 : Ensure healthy lives and promote well-being for all at all ages,"Cible 03-02 : By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under‑5 mortality to at least as low as 25 per 1,000 live births",Indicateur 03-02-01 : Under-5 mortality rate,mortality rate
ODD03 : Ensure healthy lives and promote well-being for all at all ages,"Cible 03-02 : By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under‑5 mortality to at least as low as 25 per 1,000 live births",Indicateur 03-02-01 : Under-5 mortality rate,live births
ODD03 : Ensure healthy lives and promote well-being for all at all ages,"Cible 03-02 : By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under‑5 mortality to at least as low as 25 per 1,000 live births",Indicateur 03-02-02 : Neonatal mortality rate,live births
ODD03 : Ensure healthy lives and promote well-being for all at all ages,"Cible 03-02 : By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under‑5 mortality to at least as low as 25 per 1,000 live births",Indicateur 03-02-02 : Neonatal mortality rate,neonatal deaths
