ODD,Cible,Indicateur,Mots-cles
ODD05,Cible 05-01,Indicateur 05-01-01,climate change
ODD05,Cible 05-01,Indicateur 05-01-01,legal frameworks
ODD05,Cible 05-01,Indicateur 05-01-01,gender equality
ODD05,Cible 05-01,Indicateur 05-01-01,gender equality
ODD05,Cible 05-01,Indicateur 05-01-01,legal frameworks
ODD05,Cible 05-01,Indicateur 05-01-01,public life
ODD05,Cible 05-01,Indicateur 05-01-01,climate change
ODD05,Cible 05-01,Indicateur 05-01-01,poverty reduction
ODD05,Cible 05-01,Indicateur 05-01-01,economic growth
ODD05,Cible 05-01,Indicateur 05-01-01,social inclusion
ODD05,Cible 05-01,Indicateur 05-01-01,human rights
ODD05,Cible 05-01,Indicateur 05-01-01,customary law
ODD05,Cible 05-01,Indicateur 05-01-01,personal law
ODD05,Cible 05-01,Indicateur 05-01-01,equal rights
ODD05,Cible 05-01,Indicateur 05-01-01,public office
ODD05,Cible 05-01,Indicateur 05-01-01,political office
ODD05,Cible 05-01,Indicateur 05-01-01,national parliament
ODD05,Cible 05-01,Indicateur 05-01-01,equal rights
ODD05,Cible 05-01,Indicateur 05-01-01,women's commission
ODD05,Cible 05-01,Indicateur 05-01-01,legal aid
ODD05,Cible 05-01,Indicateur 05-01-01,criminal matters
ODD05,Cible 05-01,Indicateur 05-01-01,civil matters
ODD05,Cible 05-01,Indicateur 05-01-01,family matters
ODD05,Cible 05-01,Indicateur 05-01-01,evidentiary weight
ODD05,Cible 05-01,Indicateur 05-01-01,gender equality
ODD05,Cible 05-01,Indicateur 05-01-01,gender statistics
ODD05,Cible 05-01,Indicateur 05-01-01,political parties
ODD05,Cible 05-01,Indicateur 05-01-01,women candidates
ODD05,Cible 05-01,Indicateur 05-01-01,women's rights
ODD05,Cible 05-01,Indicateur 05-01-01,domestic violence
ODD05,Cible 05-01,Indicateur 05-01-01,honor crimes
ODD05,Cible 05-01,Indicateur 05-01-01,physical force
ODD05,Cible 05-01,Indicateur 05-01-01,marital rape
ODD05,Cible 05-01,Indicateur 05-01-01,sexual harassment
ODD05,Cible 05-01,Indicateur 05-01-01,government entities
ODD05,Cible 05-01,Indicateur 05-01-01,budgetary commitments
ODD05,Cible 05-01,Indicateur 05-01-01,non-governmental organizations
ODD05,Cible 05-01,Indicateur 05-01-01,budgetary commitments
ODD05,Cible 05-01,Indicateur 05-01-01,review implementation
ODD05,Cible 05-01,Indicateur 05-01-01,economic benefits
ODD05,Cible 05-01,Indicateur 05-01-01,equal remuneration
ODD05,Cible 05-01,Indicateur 05-01-01,women's rights
ODD05,Cible 05-01,Indicateur 05-01-01,hazardous jobs
ODD05,Cible 05-01,Indicateur 05-01-01,arduous jobs
ODD05,Cible 05-01,Indicateur 05-01-01,night shifts
ODD05,Cible 05-01,Indicateur 05-01-01,maternity leave
ODD05,Cible 05-01,Indicateur 05-01-01,parental leave
ODD05,Cible 05-01,Indicateur 05-01-01,ilo standards
ODD05,Cible 05-01,Indicateur 05-01-01,paid leave
ODD05,Cible 05-01,Indicateur 05-01-01,gender discrimination
ODD05,Cible 05-01,Indicateur 05-01-01,public entity
ODD05,Cible 05-01,Indicateur 05-01-01,publicly provided
ODD05,Cible 05-01,Indicateur 05-01-01,family planning
ODD05,Cible 05-01,Indicateur 05-01-01,domestic violence
ODD05,Cible 05-01,Indicateur 05-01-01,child marriage
ODD05,Cible 05-01,Indicateur 05-01-01,gender equality
ODD05,Cible 05-01,Indicateur 05-01-01,women's empowerment
ODD05,Cible 05-01,Indicateur 05-01-01,healthy living
ODD05,Cible 05-01,Indicateur 05-01-01,marriage consent
ODD05,Cible 05-01,Indicateur 05-01-01,divorce initiation
ODD05,Cible 05-01,Indicateur 05-01-01,legal guardian
ODD05,Cible 05-01,Indicateur 05-01-01,men's rights
ODD05,Cible 05-01,Indicateur 05-01-01,housing equality
ODD05,Cible 05-01,Indicateur 05-01-01,profession choice
ODD05,Cible 05-01,Indicateur 05-01-01,identity card
ODD05,Cible 05-01,Indicateur 05-01-01,marital property
ODD05,Cible 05-01,Indicateur 05-01-01,equal rights
ODD05,Cible 05-01,Indicateur 05-01-01,legal age
ODD05,Cible 05-01,Indicateur 05-01-01,family courts
ODD05,Cible 05-01,Indicateur 05-01-01,financial resources
ODD05,Cible 05-02,Indicateur 05-02-01,adolescent girls
ODD05,Cible 05-02,Indicateur 05-02-01,gender equality
ODD05,Cible 05-02,Indicateur 05-02-01,human rights
ODD05,Cible 05-02,Indicateur 05-02-01,gender-based violence
ODD05,Cible 05-02,Indicateur 05-02-01,physical harm
ODD05,Cible 05-02,Indicateur 05-02-01,sexual harm
ODD05,Cible 05-02,Indicateur 05-02-01,psychological harm
ODD05,Cible 05-02,Indicateur 05-02-01,arbitrary depriv
ODD05,Cible 05-02,Indicateur 05-02-01,physical violence
ODD05,Cible 05-02,Indicateur 05-02-01,twisting arm
ODD05,Cible 05-02,Indicateur 05-02-01,pulling hair
ODD05,Cible 05-02,Indicateur 05-02-01,sexual violence
ODD05,Cible 05-02,Indicateur 05-02-01,attempted rape
ODD05,Cible 05-02,Indicateur 05-02-01,psychological violence
ODD05,Cible 05-02,Indicateur 05-02-01,emotional abuse
ODD05,Cible 05-02,Indicateur 05-02-01,controlling behaviors
ODD05,Cible 05-02,Indicateur 05-02-02,sexual violence
ODD05,Cible 05-02,Indicateur 05-02-02,intimate partner
ODD05,Cible 05-02,Indicateur 05-02-02,sexual violence
ODD05,Cible 05-02,Indicateur 05-02-02,gender-based violence
ODD05,Cible 05-02,Indicateur 05-02-02,physical harm
ODD05,Cible 05-02,Indicateur 05-02-02,sexual harm
ODD05,Cible 05-02,Indicateur 05-02-02,psychological harm
ODD05,Cible 05-02,Indicateur 05-02-02,arbitrary depriv
ODD05,Cible 05-02,Indicateur 05-02-02,sexual harassment
ODD05,Cible 05-03,Indicateur 05-03-02,adolescent girls
ODD05,Cible 05-03,Indicateur 05-03-02,age groups
ODD05,Cible 05-03,Indicateur 05-03-02,younger women
ODD05,Cible 05-03,Indicateur 05-03-02,older women
ODD05,Cible 05-03,Indicateur 05-03-02,regional level
ODD05,Cible 05-03,Indicateur 05-03-02,non-medical reasons
ODD05,Cible 05-03,Indicateur 05-03-02,partial removal
ODD05,Cible 05-03,Indicateur 05-03-02,total removal
ODD05,Cible 05-03,Indicateur 05-03-02,interagency statement
ODD05,Cible 05-04,Indicateur 05-04-01,food management
ODD05,Cible 05-04,Indicateur 05-04-01,textile care
ODD05,Cible 05-04,Indicateur 05-04-01,footwear care
ODD05,Cible 05-04,Indicateur 05-04-01,household management
ODD05,Cible 05-04,Indicateur 05-04-01,international standards
ODD05,Cible 05-04,Indicateur 05-04-01,climate change
ODD05,Cible 05-04,Indicateur 05-04-01,energy efficiency
ODD05,Cible 05-04,Indicateur 05-04-01,renewable energy
ODD05,Cible 05-04,Indicateur 05-04-01,carbon footprint
ODD05,Cible 05-04,Indicateur 05-04-01,poverty reduction
ODD05,Cible 05-04,Indicateur 05-04-01,economic growth
ODD05,Cible 05-04,Indicateur 05-04-01,social inclusion
ODD05,Cible 05-04,Indicateur 05-04-01,employment rate
ODD05,Cible 05-04,Indicateur 05-04-01,unemployment rate
ODD05,Cible 05-04,Indicateur 05-04-01,underemployment rate
ODD05,Cible 05-04,Indicateur 05-04-01,informal economy
ODD05,Cible 05-05,Indicateur 05-05-01,women's representation
ODD05,Cible 05-05,Indicateur 05-05-01,national parliaments
ODD05,Cible 05-05,Indicateur 05-05-01,indirect election
ODD05,Cible 05-05,Indicateur 05-05-01,parliamentary mandates
ODD05,Cible 05-05,Indicateur 05-05-01,local government
ODD05,Cible 05-05,Indicateur 05-05-01,gender equality
ODD05,Cible 05-05,Indicateur 05-05-01,women's empowerment
ODD05,Cible 05-05,Indicateur 05-05-01,public services
ODD05,Cible 05-05,Indicateur 05-05-01,sub-national units
ODD05,Cible 05-05,Indicateur 05-05-01,local government
ODD05,Cible 05-05,Indicateur 05-05-01,central government
ODD05,Cible 05-05,Indicateur 05-05-01,state government
ODD05,Cible 05-05,Indicateur 05-05-01,legislative authority
ODD05,Cible 05-05,Indicateur 05-05-01,executive authority
ODD05,Cible 05-05,Indicateur 05-05-01,fiscal authority
ODD05,Cible 05-05,Indicateur 05-05-01,geographical areas
ODD05,Cible 05-05,Indicateur 05-05-01,legislative/deliberative bodies
ODD05,Cible 05-05,Indicateur 05-05-01,universal suffrage
ODD05,Cible 05-05,Indicateur 05-05-01,decision-making power
ODD05,Cible 05-05,Indicateur 05-05-01,legislative/deliberative body
ODD05,Cible 05-05,Indicateur 05-05-01,reserved seats
ODD05,Cible 05-05,Indicateur 05-05-01,candidate quota
ODD05,Cible 05-05,Indicateur 05-05-01,government officials
ODD05,Cible 05-05,Indicateur 05-05-01,higher-ranking tiers
ODD05,Cible 05-05,Indicateur 05-05-01,leadership positions
ODD05,Cible 05-05,Indicateur 05-05-02,gender equality
ODD05,Cible 05-05,Indicateur 05-05-02,management positions
ODD05,Cible 05-05,Indicateur 05-05-02,senior management
ODD05,Cible 05-05,Indicateur 05-05-02,middle management
ODD05,Cible 05-05,Indicateur 05-05-02,junior management
ODD05,Cible 05-05,Indicateur 05-05-02,decision-making power
ODD05,Cible 05-05,Indicateur 05-05-02,working age
ODD05,Cible 05-05,Indicateur 05-05-02,reference period
ODD05,Cible 05-05,Indicateur 05-05-02,statistical standards
ODD05,Cible 05-06,Indicateur 05-06-01,women's health
ODD05,Cible 05-06,Indicateur 05-06-01,sexual intercourse
ODD05,Cible 05-06,Indicateur 05-06-01,decision making
ODD05,Cible 05-06,Indicateur 05-06-01,reproductive health
ODD05,Cible 05-06,Indicateur 05-06-01,reproductive rights
ODD05,Cible 05-06,Indicateur 05-06-01,health care
ODD05,Cible 05-06,Indicateur 05-06-01,climate change
ODD05,Cible 05-06,Indicateur 05-06-01,poverty reduction
ODD05,Cible 05-06,Indicateur 05-06-01,gender equality
ODD05,Cible 05-06,Indicateur 05-06-01,clean water
ODD05,Cible 05-06,Indicateur 05-06-01,affordable housing
ODD05,Cible 05-06,Indicateur 05-06-01,renewable energy
ODD05,Cible 05-06,Indicateur 05-06-01,economic development
